Note (MIDI),Offset,Duration
58,0.5,0.5
63,1.0,1/6
65,7/6,1/6
63,4/3,1/6
58,1.5,0.5
61,2.0,0.5
62,2.5,0.5
58,3.5,0.5
63,0.0,1/6
65,1/6,1/6
63,1/3,1/6
58,0.5,0.5
61,1.0,0.5
62,1.5,0.5
58,2.5,0.5
63,3.0,1/6
65,19/6,1/6
63,10/3,1/6
58,3.5,0.5
61,0.0,0.5
62,0.5,0.5
58,1.5,0.5
60,2.0,0.5
56,2.5,0.5
56,3.0,1.0
73,0.0,0.25
72,0.25,0.25
70,0.5,0.25
68,0.75,0.25
67,1.0,0.25
65,1.25,0.25
63,1.5,0.25
57,1.75,0.25
58,2.0,0.25
60,2.25,0.25
61,2.5,0.25
58,2.75,0.25
60,3.0,1.0
60,0.0,1.0
58,2.5,0.5
62,3.0,0.5
65,3.5,0.5
67,0.0,0.5
70,0.5,0.5
72,1.0,0.5
69,1.5,0.5
70,2.0,0.25
72,2.25,0.25
70,2.5,0.25
69,2.75,0.25
67,3.0,0.5
66,3.5,0.5
65,0.0,0.5
63,0.5,0.5
62,1.0,0.5
60,1.5,0.5
59,2.0,0.5
68,2.5,0.5
67,3.0,1/6
68,19/6,1/6
67,10/3,1/6
65,3.5,0.5
63,0.0,0.5
55,0.5,0.5
58,1.0,0.5
62,1.5,0.5
60,2.0,1.0
73,3.5,0.5
73,0.0,0.5
70,0.5,1.0
68,1.5,0.5
65,2.0,0.5
63,2.5,0.5
61,3.0,0.5
58,3.5,0.5
58,0.0,1.0
55,1.0,0.5
58,1.5,0.5
60,2.0,2/3
58,8/3,2/3
58,10/3,2/3
58,0.0,1.0
58,0.5,0.5
63,1.0,1/6
65,7/6,1/6
63,4/3,1/6
58,1.5,0.5
61,2.0,0.5
62,2.5,0.5
58,3.5,0.5
63,0.0,1/6
65,1/6,1/6
63,1/3,1/6
58,0.5,0.5
61,1.0,0.5
62,1.5,0.5
58,2.5,0.5
63,3.0,1/6
65,19/6,1/6
63,10/3,1/6
58,3.5,0.5
61,0.0,0.5
62,0.5,0.5
58,1.5,0.5
60,2.0,0.5
56,2.5,0.5
56,3.0,1.0
67,2.0,0.25
66,2.25,0.25
64,2.5,0.25
58,2.75,0.25
59,3.0,0.25
61,3.25,0.25
56,3.5,0.25
54,3.75,0.25
55,0.0,0.25
58,0.25,0.25
60,0.5,0.25
62,0.75,0.25
65,1.0,0.25
63,1.25,0.25
62,1.5,0.25
58,1.75,0.25
61,2.0,1.0
73,3.5,0.5
73,0.0,0.5
70,0.5,1.0
68,1.5,0.5
65,2.0,0.5
63,2.5,0.5
61,3.0,0.5
58,3.5,0.5
58,0.0,1.0
55,1.0,0.5
58,1.5,0.5
60,2.0,2/3
58,8/3,2/3
58,10/3,2/3
58,0.0,1.0
62,2.5,0.5
62,3.0,0.5
63,3.5,0.25
64,3.75,0.25
65,0.0,0.25
60,0.25,0.25
61,0.5,0.25
62,0.75,0.25
63,1.0,0.25
58,1.25,0.25
60,1.5,0.25
61,1.75,0.25
62,2.0,0.5
57,2.5,0.5
57,3.0,1.0
60,1.5,0.5
58,2.0,1/6
60,13/6,1/6
58,7/3,1/6
55,2.5,0.5
57,3.0,0.5
66,3.5,0.5
63,0.0,0.5
64,0.5,0.5
65,1.0,0.5
63,1.5,0.5
62,2.0,0.5
60,2.5,0.5
58,3.0,0.5
57,3.5,0.5
56,0.0,0.5
60,0.5,0.5
70,1.0,0.5
66,1.5,0.5
66,2.0,0.5
60,2.5,0.25
58,2.75,0.25
56,3.0,0.5
58,3.5,0.5
65,0.0,1.0
63,1.0,0.5
58,1.5,0.5
61,2.0,1.0
61,0.5,0.5
62,1.0,0.25
65,1.25,0.25
67,1.5,0.25
69,1.75,0.25
72,2.0,0.5
70,2.5,0.5
69,3.0,1/6
70,19/6,1/6
69,10/3,1/6
67,3.5,0.5
65,0.0,0.5
63,0.5,0.5
62,1.0,0.5
60,1.5,0.5
59,2.0,0.5
68,2.5,0.5
67,3.0,1/6
68,19/6,1/6
67,10/3,1/6
65,3.5,0.5
63,0.0,0.5
55,0.5,0.5
58,1.0,0.5
62,1.5,0.5
60,2.0,0.5
58,2.5,0.5
57,3.0,1/3
60,10/3,1/3
66,11/3,1/3
65,0.0,0.5
63,0.5,0.5
58,1.0,1/3
55,4/3,1/3
54,5/3,1/3
62,2.0,1.5
58,3.5,0.5
60,0.0,0.5
58,0.5,0.5
57,1.0,0.5
58,1.5,0.5
62,2.0,0.5
65,2.5,0.5
65,3.0,1.0
70,0.5,0.5
70,1.0,0.5
73,1.5,0.5
73,2.0,1/6
75,13/6,1/6
73,7/3,1/6
70,2.5,0.5
72,3.0,0.5
70,3.5,0.5
68,0.0,0.5
65,0.5,0.5
61,1.0,0.25
58,1.25,0.25
60,1.5,0.25
58,1.75,0.25
62,2.0,0.5
58,2.5,0.5
53,3.0,1/3
51,10/3,1/3
53,11/3,1/3
50,0.0,1/3
53,1/3,1/3
58,2/3,1/3
58,1.0,1.0
72,1.5,0.25
70,1.75,0.25
68,2.0,1.0
58,3.5,0.5
55,0.0,1/3
56,1/3,1/3
58,2/3,1/3
60,1.0,1/3
61,4/3,1/3
63,5/3,1/3
65,2.0,1/3
66,7/3,1/3
67,8/3,1/3
68,3.0,1/3
69,10/3,1/3
70,11/3,1/3
68,0.0,0.5
66,0.5,0.5
67,1.0,0.5
77,1.5,0.5
77,2.0,1.0
75,3.0,0.5
66,3.5,0.5
65,0.0,0.5
75,0.5,0.5
72,1.0,0.5
73,1.5,0.5
74,2.0,0.5
70,2.5,0.5
69,3.0,1/6
70,19/6,1/6
69,10/3,1/6
67,3.5,0.5
65,0.0,0.5
63,0.5,0.5
62,1.0,0.5
60,1.5,0.5
59,2.0,0.5
68,2.5,0.5
67,3.0,1/6
68,19/6,1/6
67,10/3,1/6
65,3.5,0.5
63,0.0,0.5
55,0.5,0.5
58,1.0,0.5
62,1.5,0.5
60,2.0,0.5
58,2.5,0.5
60,3.0,1/3
63,10/3,1/3
66,11/3,1/3
65,0.0,0.5
57,0.5,0.5
58,1.0,0.5
63,1.5,0.5
62,2.0,0.5
57,2.5,0.5
60,3.0,0.5
58,3.5,0.5
58,0.0,1.0
62,1.5,0.5
62,2.0,0.5
65,2.5,0.5
67,3.0,0.5
69,3.5,0.5
70,0.0,1.0
72,2.0,0.5
70,2.5,1.0
73,3.5,0.5
73,0.0,0.5
72,0.5,1/6
70,2/3,1/6
67,5/6,1/6
65,1.0,0.5
63,1.5,0.5
63,2.0,1.0
58,3.5,0.5
62,0.0,0.5
65,0.5,0.5
65,1.0,0.25
67,1.25,0.25
62,1.5,0.5
62,2.0,0.5
58,2.5,0.5
60,3.0,0.5
58,3.5,0.5
62,0.0,0.5
65,0.5,0.5
67,1.0,0.25
65,1.25,0.25
68,1.5,0.5
68,2.0,1.0
63,1.5,0.5
67,2.0,0.5
70,2.5,0.5
72,3.0,0.5
73,3.5,0.5
70,0.0,1/6
72,1/6,1/6
70,1/3,1/6
68,0.5,0.5
65,1.0,0.5
63,1.5,0.5
61,2.0,1.0
58,3.0,0.5
55,3.5,0.5
62,0.0,1.5
69,1.5,0.5
69,2.0,1.0
65,3.5,0.5
62,0.0,0.5
57,0.5,0.5
56,1.0,0.5
66,1.5,0.5
66,2.0,1.0
67,3.0,0.5
60,3.5,0.5
60,0.0,1.0
62,2.5,0.5
63,3.0,1/3
67,10/3,1/3
70,11/3,1/3
74,0.0,0.5
73,0.5,0.5
72,1.0,0.5
71,1.5,0.5
71,2.0,1/6
72,13/6,1/6
71,7/3,1/6
66,2.5,0.5
63,3.0,0.5
60,3.5,0.5
69,0.0,1.0
65,1.0,1/3
62,4/3,1/3
59,5/3,1/3
67,2.0,0.5
62,0.5,0.5
62,1.0,1.0
65,2.0,0.5
63,2.5,0.5
58,3.0,1/3
55,10/3,1/3
51,11/3,1/3
62,0.0,1.0
58,1.0,1/6
60,7/6,1/6
58,4/3,1/6
55,1.5,0.5
60,2.0,0.5
53,2.5,0.5
53,3.0,1.0
53,3.5,0.5
58,0.0,0.5
62,0.5,0.5
60,1.0,0.5
58,1.5,0.5
63,2.0,0.5
61,2.5,0.5
62,3.0,0.5
65,3.5,0.5
63,1.5,0.5
65,2.5,0.5
63,3.0,1.0
62,0.5,0.5
63,1.0,0.5
62,1.5,0.5
60,2.0,0.5
57,2.5,0.5
58,3.0,0.5
62,3.5,0.5
60,0.0,0.5
55,0.5,0.5
58,1.0,0.5
57,1.5,0.5
58,3.5,0.5
58,0.0,1.0
55,1.0,0.5
58,1.5,0.5
62,2.0,0.5
58,2.5,0.5
64,3.5,0.5
64,0.0,0.5
63,0.5,0.5
63,1.0,0.5
54,1.5,0.5
54,2.0,0.5
58,2.5,0.5
60,3.0,0.5
62,3.5,0.5
65,0.0,1.0
59,1.5,0.5
68,2.5,1.0
66,3.5,0.5
67,0.0,0.5
63,0.5,0.5
58,1.0,0.5
55,1.5,0.5
62,2.0,0.5
65,2.5,0.5
53,3.5,0.5
58,0.0,0.5
62,0.5,0.5
60,1.0,0.5
58,1.5,0.5
63,2.0,0.5
61,2.5,0.5
62,3.0,0.5
65,3.5,0.5
63,1.5,0.5
65,2.5,0.5
63,3.0,1.0
62,0.5,0.5
63,1.0,0.5
62,1.5,0.5
60,2.0,0.5
57,2.5,0.5
58,3.0,0.5
62,3.5,0.5
60,0.0,0.5
55,0.5,0.5
58,1.0,0.5
57,1.5,0.5
58,3.5,0.5
58,0.0,1.0
55,1.0,0.5
58,1.5,0.5
62,2.0,0.5
58,2.5,0.5
64,3.5,0.5
64,0.0,0.5
63,0.5,0.5
63,1.0,0.5
54,1.5,0.5
54,2.0,0.5
58,2.5,0.5
60,3.0,0.5
62,3.5,0.5
63,0.0,1/3
65,1/3,1/3
63,2/3,1/3
62,1.0,0.5
65,1.5,0.5
62,2.5,0.5
63,3.0,0.5
55,3.5,0.5
60,0.0,0.5
55,0.5,0.5
58,1.0,0.5
60,1.5,0.5
66,3.5,0.5
66,0.0,1.0
67,1.0,0.5
68,1.5,0.5
69,2.0,0.5
66,2.5,0.5
67,3.0,0.5
69,3.5,0.5
66,0.0,0.5
62,0.5,0.5
64,3.5,0.5
65,0.0,0.5
64,0.5,0.5
62,1.0,0.5
59,1.5,0.5
64,2.0,0.5
62,2.5,0.5
59,3.0,0.5
57,3.5,0.5
69,1.5,0.5
69,2.0,0.5
69,2.5,1.0
69,3.5,0.5
69,0.0,0.5
67,0.5,0.5
64,1.0,0.5
62,1.5,0.5
62,2.0,1.5
55,3.5,0.5
60,0.0,1/6
62,1/6,1/6
60,1/3,1/6
55,0.5,0.5
58,1.0,0.5
60,1.5,0.5
63,3.5,0.5
63,0.0,1.0
62,1.0,0.5
60,1.5,0.5
59,2.0,0.5
62,2.5,0.5
60,3.0,0.5
55,3.5,0.5
