Chord,Offset
Gm,0.0
C7,2.0
F7,0.0
B-7,0.0
Bdim,2.0
F7,0.0
F7,0.0
B-7,0.0
B-7,0.0
F7,0.0
Am,0.0
D7,2.0
Gm,0.0
C7,0.0
F7,0.0
D7,2.0
Gm,0.0
C7,2.0
F7,0.0
B-7,0.0
Bdim,2.0
F7,0.0
F7,0.0
B-7,0.0
B-7,0.0
F7,0.0
Am,0.0
D7,2.0
Gm,0.0
C7,0.0
F7,0.0
D7,2.0
Gm,0.0
C7,2.0
F7,0.0
F7,0.0
F7,0.0
Cm,0.0
F7,2.0
B-7,0.0
B-7,0.0
F7,0.0
Am,0.0
D7,2.0
Gm,0.0
C7,0.0
F7,0.0
C7,0.0
F7,0.0
F7,0.0
F7,0.0
Cm,0.0
F7,2.0
B-7,0.0
B-7,0.0
F7,0.0
D7,0.0
Gm,0.0
C7,0.0
F7,0.0
C7,0.0
F7,0.0
B-7,0.0
F7,0.0
Cm,0.0
F7,2.0
B-7,0.0
B-7,0.0
F7,0.0
D7,0.0
Gm,0.0
C7,0.0
F7,0.0
C7,0.0
F7,0.0
B-7,0.0
F7,0.0
F7,0.0
B-7,0.0
B-7,0.0
F7,0.0
F7,0.0
D7,2.0
Gm,0.0
C7,0.0
F7,0.0
Gm,0.0
C7,2.0
F7,0.0
