Note (MIDI),Offset
60,3.5
59,0.0
60,0.5
65,1.0
68,1.5
69,2.0
65,2.5
62,3.0
65,3.5
65,0.0
62,0.5
65,1.0
65,2.5
65,3.0
62,3.5
65,0.0
65,1.5
65,2.0
62,2.5
65,3.0
62,3.5
68,0.0
69,0.5
65,1.0
67,7/6
65,4/3
62,1.5
65,2.0
67,2.5
65,3.0
65,3.5
69,1.5
70,2.0
65,2.5
68,3.5
68,0.0
70,0.5
70,1.0
75,2.0
72,2.5
77,3.0
75,3.5
77,0.5
72,1.0
76,3.5
76,0.0
67,1.0
64,1.5
66,2.0
75,2.5
72,3.0
73,3.5
74,0.0
79,1.5
78,2.0
79,13/6
78,7/3
74,2.5
70,3.0
65,3.5
77,0.0
77,1.5
76,2.0
76,2.5
74,3.0
74,3.5
72,0.0
65,1.5
65,2.0
62,2.5
65,3.0
65,0.5
65,1.0
62,1.5
65,2.0
60,3.5
59,0.0
60,0.5
65,1.0
68,1.5
69,2.0
65,2.5
62,3.0
65,3.5
65,0.0
62,0.5
65,1.0
65,2.5
65,3.0
62,3.5
65,0.0
65,1.5
65,2.0
62,2.5
65,3.0
62,3.5
68,0.0
69,0.5
65,1.0
67,7/6
65,4/3
62,1.5
65,2.0
67,2.5
65,3.0
65,3.5
69,1.5
70,2.0
65,2.5
68,3.5
68,0.0
70,0.5
70,1.0
75,2.0
72,2.5
77,3.0
75,3.5
77,0.5
72,1.0
76,3.5
76,0.0
67,1.0
64,1.5
66,2.0
75,2.5
72,3.0
73,3.5
74,0.0
79,1.5
78,2.0
79,13/6
78,7/3
74,2.5
70,3.0
65,3.5
77,0.0
77,1.5
76,2.0
76,2.5
74,3.0
74,3.5
72,0.0
65,1.5
65,2.0
62,2.5
65,3.0
65,0.5
65,1.0
62,1.5
65,2.0
60,3.5
65,0.0
67,1.0
68,1.5
69,2.0
70,3.0
71,3.5
72,0.0
69,0.5
70,1.0
72,4/3
70,5/3
69,2.0
65,2.5
62,3.0
60,3.5
67,0.0
69,1/6
67,1/3
65,0.5
63,1.0
65,1.5
65,2.0
77,3.5
77,0.0
72,0.5
70,0.75
68,1.0
65,1.5
67,2.0
65,2.5
63,3.0
62,3.5
60,0.0
58,1.0
53,1.5
56,2.0
57,2.5
58,3.0
59,3.5
60,0.0
62,0.5
60,0.75
57,1.0
60,1.5
64,2.0
62,2.5
62,3.0
67,1.5
70,5/3
74,11/6
77,2.0
76,2.5
74,3.0
73,3.5
72,0.0
69,0.5
70,1.0
72,1.5
70,1.75
69,2.0
65,2.5
62,3.0
60,3.5
67,0.0
65,0.5
67,1.0
69,1.5
69,2.0
65,0.5
68,1.5
70,2.0
70,2.5
71,2.75
71,3.0
71,3.5
70,0.0
68,0.5
65,0.75
70,1.0
71,1.75
70,2.0
65,1.5
68,2.0
69,2.5
70,3.0
71,3.5
72,0.0
74,1/6
72,1/3
69,0.5
65,1.0
63,1.5
63,2.0
67,3.5
65,0.0
67,1/6
65,1/3
62,0.5
58,1.0
55,1.5
56,2.0
72,2.0
77,3.0
72,3.5
70,0.0
72,0.5
70,0.75
69,1.0
70,1.5
72,2.0
69,2.5
69,3.0
66,1.0
67,1.25
70,1.5
74,1.75
77,2.0
74,2.25
75,2.5
76,2.75
72,3.0
73,3.25
74,3.5
72,3.75
70,0.0
69,0.25
67,0.5
65,0.75
64,1.0
67,1.25
70,1.5
73,1.75
72,2.0
69,2.25
70,2.5
72,8/3
70,17/6
69,3.0
65,3.25
62,3.5
60,3.75
65,0.0
63,1.5
61,2.0
60,2.5
60,3.0
60,1.5
65,2.0
69,2.5
72,3.0
77,3.5
77,0.0
75,1.0
74,1.5
72,1.75
70,2.0
69,2.5
67,3.0
66,3.5
65,0.0
63,0.5
62,1.0
65,4/3
69,5/3
72,2.0
70,2.5
61,3.0
70,3.5
69,0.0
70,1/6
69,1/3
65,0.5
62,1.0
60,1.5
67,2.0
68,13/6
67,7/3
65,2.5
63,3.0
65,3.5
62,0.0
65,0.5
61,1.0
60,1.5
60,2.0
80,3.5
80,0.0
79,0.5
79,1.0
77,1.25
75,2.0
72,2.5
70,3.0
65,3.5
69,0.0
72,1.5
70,3.5
69,0.0
70,1/6
69,1/3
67,0.5
66,1.0
69,1.5
72,2.0
75,2.5
74,3.0
69,3.5
72,0.0
70,0.5
70,1.0
77,3.5
76,3.625
74,3.75
72,3.875
70,0.0
69,0.5
67,1.0
65,1.5
64,2.0
67,7/3
70,8/3
73,3.0
75,3.25
72,3.5
72,0.0
70,0.5
72,0.75
69,1.0
67,0.5
67,1.0
67,0.0
65,1.5
70,2.0
72,13/6
70,7/3
69,2.5
68,3.0
68,0.0
65,1.0
67,1.25
65,1.5
64,1.75
63,2.0
60,3.0
67,3.5
67,0.0
63,1.0
60,1.5
65,2.0
60,2.5
60,3.0
72,1.5
77,2.0
72,2.5
70,2.75
68,3.0
65,3.5
65,0.0
77,1.0
72,1.5
70,1.75
68,2.0
62,2.5
62,3.0
64,1.5
65,2.0
69,7/3
72,8/3
76,3.0
74,3.5
74,0.0
72,1.0
74,7/6
72,4/3
70,1.5
69,2.0
67,2.5
66,3.0
69,3.5
67,0.0
74,0.5
70,1.0
72,7/6
70,4/3
67,1.5
66,2.0
62,2.5
58,3.0
55,3.5
65,0.0
63,0.5
64,1.0
72,1.5
70,3.5
69,0.0
72,0.5
72,1.0
72,1.5
70,2.0
69,2.5
65,3.0
60,3.5
69,0.0
65,1.5
67,2.0
65,2.5
62,3.0
60,3.5
60,0.0
